"year","KNCcorpbea","KNRcorpbea","KNCcorp","KNRcorp","KGCcorp","KGRcorp","IGCcorpbea","IG_R_net","DEPCcorpbea","dcorpstar","dcorp_WL","pKN","KNHcorpbea","KNRIndxcorpbea"
2009,14051422,10268251.10925,14043734.0514958,10262633.0454159,28241656.889128,20637941.4609316,1313817,960088.086999416,1263659,0.0902531294839721,0.0872630968638682,136.843381122049,9880093,86.025
2010,14428541,10352641.15324,14419983.3799933,10346500.9642178,29328328.1080044,21043406.7121999,1386906,995120.721580614,1270714,0.0887932754436505,0.0904331248467237,139.370628097975,10145838,86.732
2011,15124608,10505665.24998,15113382.7992637,10497868.1420285,30971481.1951589,21513021.2784615,1541669,1070854.75803878,1324537,0.088869423915195,0.0917997876569779,143.966209089223,10530284,88.014
2012,15641553,10712999.77107,15638810.4461146,10711121.3783588,32215086.1810191,22064318.7337126,1702357,1165955.20606422,1392029,0.090751946666175,0.092037360571593,146.005351761879,11015445,89.751
2013,16233055,10920334.29216,16226937.2590141,10916218.7528065,33613780.626666,22612731.9390296,1752317,1178822.31199457,1447694,0.0909078427132945,0.0925543646465284,148.649799225049,11495888,91.488
2014,17005192,11195109.2303,16995521.2880349,11188742.6643251,35304692.1770121,23242306.5416591,1937696,1275652.65803029,1524311,0.0918934265817881,0.093901671620037,151.89840179473,12095570,93.79
2015,17324832,11448159.9987,17317599.8760793,11443381.0483601,36139975.2993768,23881110.0492248,1971670,1302869.40875599,1587221,0.0936862216040728,0.0933374348257873,151.33289543444,12660015,95.91
2016,17832363,11694526.40718,17823634.1566684,11688802.0010065,37378064.3205338,24512666.1141743,2003456,1313873.49492735,1629907,0.0933686065128543,0.09407923840185,152.484695652588,13188533,97.974
2017,18522028,11936357,18531308.6673433,11942337.8439231,39052212.2148748,25166852.4978207,2101896,1354548.27262285,1709313,0.0941937787646193,0.0958545426649289,155.173207369719,13730555,100
2018,19387389,12241330.92135,19398134.6028607,12248115.7689933,40998309.3586118,25886614.8543596,2278745,1438815.28504801,1793566,0.0948756746615029,0.0968342127546724,158.376479849806,14375106,102.555
2019,20271382,12527803.48935,20275653.5420447,12530443.3211746,43040360.7024626,26599132.7572631,2349717,1452135.47017095,1891831,0.0955092146459845,0.0975804942068269,161.811142849047,15008331,104.955
2020,20683088,12702193.66512,20684718.7456546,12703195.1619527,44324025.9554812,27220904.427053,2249910,1381746.89142599,1968202,0.096484619072084,0.0970926402551143,162.830834935192,15469482,106.416
2021,22973076,12919674.08966,22981341.477408,12924322.456048,49483454.6505224,27828668.0858593,2463629,1385503.78529349,2070269,0.0916601277358665,0.10009477308224,177.814671179562,16051391,108.238
2022,25624438,13170337.58666,25627020.5170017,13171664.9375559,55366930.1646846,28457254.8051951,2769959,1423691.52178897,2287902,0.0910182366837052,0.099590581600827,194.561740208957,16846557,110.338
2023,26507748,13482473.32221,26506075.2743772,13481622.5340335,57407953.9186599,29199055.5814471,3057004,1554865.19925756,2447353,0.0945140655096995,0.0955085532022205,196.608940856075,17813914,112.953
2024,27370152,13788879.6064,27373269.9745989,13790450.4188807,59498690.5317178,29974999.0603015,3196161,1610202.20975284,2583318,0.0965295031529326,0.0974552044179687,198.494386645427,18784391,115.52
